,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
407,The Straight Story,(1999),112 min,8.0,86        ,"87,793",$6.20M,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.
408,Pâfekuto burû,(1997),81 min,8.0,****,"67,731",$0.78M,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
409,Central do Brasil,(1998),110 min,8.0,80        ,"38,531",$5.60M,"The emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew."
410,The Iron Giant,(1999),86 min,8.0,85        ,"182,858",$23.16M,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
411,Sling Blade,(1996),135 min,8.0,84        ,"91,865",$24.48M,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town."
412,Secrets & Lies,(1996),136 min,8.0,91        ,"41,689",$13.42M,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London."
413,Twelve Monkeys,(1995),129 min,8.0,74        ,"599,815",$57.14M,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
414,Kôkaku Kidôtai,(1995),83 min,8.0,76        ,"137,230",$0.52M,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
415,The Nightmare Before Christmas,(1993),76 min,8.0,82        ,"319,165",$75.08M,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
416,Groundhog Day,(1993),101 min,8.0,72        ,"599,785",$70.91M,A jaded Pittsburgh weatherman finds himself inexplicably trapped in a small town as he lives the same day over and over again.
417,Bound by Honor,(1993),180 min,8.0,47        ,"30,305",$4.50M,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo."
418,Scent of a Woman,(1992),156 min,8.0,59        ,"281,867",$63.90M,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
419,Aladdin,(1992),90 min,8.0,86        ,"390,547",$217.35M,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
420,JFK,(1991),189 min,8.0,72        ,"149,940",$70.41M,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.
421,Beauty and the Beast,(1991),84 min,8.0,95        ,"431,318",$218.97M,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
422,Dances with Wolves,(1990),181 min,8.0,72        ,"252,731",$184.21M,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military."
423,Do the Right Thing,(1989),120 min,8.0,93        ,"97,760",$27.55M,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
424,Rain Man,(1988),133 min,8.0,65        ,"493,771",$178.80M,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance."
425,Akira,(1988),124 min,8.0,****,"176,432",$0.55M,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
426,Der Himmel über Berlin,(1987),128 min,8.0,79        ,"68,644",$3.33M,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal."
427,Au revoir les enfants,(1987),104 min,8.0,88        ,"32,891",$4.54M,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret."
428,Tenkû no shiro Rapyuta,(1986),125 min,8.0,78        ,"159,230",%^%^%^,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
429,Sacrifice,(1986),149 min,8.0,****,"26,981",$0.30M,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return."
430,The Terminator,(1984),107 min,8.0,84        ,"825,957",$38.40M,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
431,Pink Floyd: The Wall,(1982),95 min,8.0,47        ,"79,040",$22.24M,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
432,Gandhi,(1982),191 min,8.0,79        ,"224,575",$52.77M,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
433,Kagemusha,(1980),180 min,8.0,84        ,"34,535",%^%^%^,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.
434,Being There,(1979),130 min,8.0,83        ,"70,420",$30.18M,"After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics."
435,Annie Hall,(1977),93 min,8.0,92        ,"259,479",$39.20M,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages."
436,All the President's Men,(1976),138 min,8.0,84        ,"110,667",$70.60M,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
437,Jaws,(1975),124 min,8.0,87        ,"569,913",$260.00M,"When a killer shark unleashes chaos on beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
438,Dog Day Afternoon,(1975),125 min,8.0,86        ,"247,837",$50.00M,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
439,Young Frankenstein,(1974),106 min,8.0,80        ,"152,992",$86.30M,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
440,Papillon,(1973),151 min,8.0,58        ,"127,131",$53.27M,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape."
441,The Exorcist,(1973),122 min,8.0,81        ,"381,988",$232.91M,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her."
442,Solaris,(1972),167 min,8.0,90        ,"87,717",%^%^%^,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
443,Sleuth,(1972),138 min,8.0,****,"46,739",$4.08M,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results."
444,The Last Picture Show,(1971),118 min,8.0,93        ,"45,518",$29.13M,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically."
445,Fiddler on the Roof,(1971),181 min,8.0,67        ,"41,901",$80.50M,"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village."
446,Il conformista,(1970),113 min,8.0,100        ,"29,234",$0.54M,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
447,Butch Cassidy and the Sundance Kid,(1969),110 min,8.0,66        ,"210,374",$102.31M,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
448,Rosemary's Baby,(1968),137 min,8.0,96        ,"206,350",%^%^%^,"A young couple trying for a baby move into an aging, ornate apartment building on Central Park West, but find themselves surrounded by peculiar neighbors."
449,Planet of the Apes,(1968),112 min,8.0,79        ,"173,716",$33.40M,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved."
450,The Graduate,(1967),106 min,8.0,83        ,"265,202",$104.95M,A disillusioned college graduate finds himself torn between his older lover and her daughter.
451,Who's Afraid of Virginia Woolf?,(1966),131 min,8.0,75        ,"73,236",%^%^%^,"A bitter middle-aged couple, her derisive of his lowly position at a New England college, ask a new colleague and his wife over for drinks, and use them to fuel anguish and emotional pain toward each other through a distressing night."
452,The Sound of Music,(1965),172 min,8.0,63        ,"218,053",$163.21M,A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
453,Doctor Zhivago,(1965),197 min,8.0,69        ,"73,484",$111.72M,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
454,Per un pugno di dollari,(1964),99 min,8.0,65        ,"208,889",$14.50M,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
455,8½,(1963),138 min,8.0,91        ,"114,464",$0.05M,A harried movie director retreats into his memories and fantasies.
456,Vivre sa vie: Film en douze tableaux,(1962),80 min,8.0,****,"30,384",%^%^%^,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.
457,The Hustler,(1961),134 min,8.0,90        ,"79,881",$8.28M,An up-and-coming pool player plays a long-time champion in a single high-stakes match.
458,La dolce vita,(1960),174 min,8.0,95        ,"70,563",$19.52M,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.
459,Rio Bravo,(1959),141 min,8.0,93        ,"59,866",$12.54M,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
460,Anatomy of a Murder,(1959),161 min,8.0,95        ,"64,050",$11.90M,"An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth, and will he win his case?"
461,Touch of Evil,(1958),95 min,8.0,99        ,"102,173",$2.24M,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town."
462,Cat on a Hot Tin Roof,(1958),108 min,8.0,84        ,"47,773",$17.57M,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.
463,Sweet Smell of Success,(1957),96 min,8.0,100        ,"30,473",%^%^%^,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.
464,The Killing,(1956),84 min,8.0,91        ,"86,573",%^%^%^,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.
465,The Night of the Hunter,(1955),92 min,8.0,99        ,"86,374",$0.65M,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery."
466,La Strada,(1954),108 min,8.0,****,"61,386",%^%^%^,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way."
467,Stalag 17,(1953),120 min,8.0,84        ,"54,509",%^%^%^,"After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer."
468,Roman Holiday,(1953),118 min,8.0,78        ,"134,360",%^%^%^,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
469,High Noon,(1952),85 min,8.0,89        ,"101,544",$9.45M,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train."
470,A Streetcar Named Desire,(1951),122 min,8.0,97        ,"104,861",$8.00M,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
471,Strangers on a Train,(1951),101 min,8.0,88        ,"130,323",$7.63M,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.
472,In a Lonely Place,(1950),94 min,8.0,****,"29,830",%^%^%^,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts."
473,Kind Hearts and Coronets,(1949),106 min,8.0,****,"36,377",%^%^%^,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.
474,Rope,(1948),80 min,8.0,73        ,"137,605",%^%^%^,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.
475,Out of the Past,(1947),97 min,8.0,****,"35,549",%^%^%^,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames."
476,Notorious,(1946),102 min,8.0,100        ,"98,127",$10.46M,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?
477,Brief Encounter,(1945),86 min,8.0,92        ,"38,539",%^%^%^,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband."
478,Laura,(1944),88 min,8.0,****,"45,491",$4.36M,A police detective falls in love with the woman whose murder he is investigating.
479,Arsenic and Old Lace,(1943),118 min,8.0,****,"69,173",%^%^%^,A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
480,The Maltese Falcon,(1941),100 min,8.0,97        ,"154,560",$2.11M,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
481,The Wizard of Oz,(1939),102 min,8.0,92        ,"382,270",$2.08M,"Young Dorothy Gale and her dog are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
482,La règle du jeu,(1939),110 min,8.0,****,"28,180",%^%^%^,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
483,The Thin Man,(1934),91 min,8.0,86        ,"28,373",%^%^%^,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
484,Bronenosets Potemkin,(1925),75 min,8.0,97        ,"56,073",$0.05M,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
485,Knives Out,(2019),130 min,7.9,82        ,"555,485",$165.36M,"A detective investigates the death of a patriarch of an eccentric, combative family."
486,Manbiki kazoku,(2018),121 min,7.9,93        ,"71,094",$3.31M,A family of small-time crooks take in a child they find outside in the cold.
487,Marriage Story,(2019),137 min,7.9,94        ,"279,876",$2.00M,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
488,Hindi Medium,(2017),132 min,7.9,****,"26,611",%^%^%^,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.
489,Call Me by Your Name,(2017),132 min,7.9,93        ,"243,621",$18.10M,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
490,"I, Daniel Blake",(2016),100 min,7.9,78        ,"57,681",$0.26M,"After surviving a heart-attack, a 59-year-old carpenter must fight bureaucratic forces to receive Employment and Support Allowance."
491,Hidden Figures,(2016),127 min,7.9,74        ,"215,010",$169.61M,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
492,Hunt for the Wilderpeople,(2016),101 min,7.9,81        ,"122,433",$5.20M,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.
493,M.S. Dhoni: The Untold Story,(2016),184 min,7.9,****,"49,291",$1.78M,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.
494,Captain Fantastic,(2016),118 min,7.9,72        ,"208,092",$5.88M,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
495,Sing Street,(2016),106 min,7.9,79        ,"90,241",$3.24M,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
496,Thor: Ragnarok,(2017),130 min,7.9,74        ,"661,551",$315.06M,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
497,Jojo Rabbit,(2019),108 min,7.9,58        ,"347,788",$0.35M,A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.
498,Arrival,(II) (2016),116 min,7.9,81        ,"650,147",$100.55M,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.
499,Gully Boy,(2019),154 min,7.9,65        ,"36,410",$5.57M,A coming-of-age story based on the lives of street rappers in Mumbai.
500,Before Midnight,(2013),109 min,7.9,94        ,"150,368",$8.11M,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
501,X-Men: Days of Future Past,(2014),132 min,7.9,75        ,"684,774",$233.92M,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
502,Bir Zamanlar Anadolu'da,(2011),157 min,7.9,82        ,"44,943",$0.14M,A group of men set out in search of a dead body in the Anatolian steppes.
503,Bohemian Rhapsody,(2018),134 min,7.9,49        ,"497,110",$216.43M,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
504,The Perks of Being a Wallflower,(2012),103 min,7.9,67        ,"486,589",$17.74M,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.
505,The Artist,(I) (2011),100 min,7.9,89        ,"237,058",$44.67M,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
506,Edge of Tomorrow,(2014),113 min,7.9,71        ,"639,273",$100.21M,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
507,Amour,(2012),127 min,7.9,94        ,"97,352",$6.74M,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
508,Un prophète,(2009),155 min,7.9,90        ,"96,834",$2.08M,A young Algerian man is sent to a French prison.
509,Låt den rätte komma in,(2008),114 min,7.9,82        ,"211,834",$2.12M,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
510,District 9,(2009),112 min,7.9,81        ,"659,851",$115.65M,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.
511,The Wrestler,(2008),109 min,7.9,80        ,"298,549",$26.24M,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle."
512,Jab We Met,(2007),138 min,7.9,****,"50,745",$0.41M,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
513,Boyhood,(I) (2014),165 min,7.9,100        ,"346,374",$25.38M,"The life of Mason, from early childhood to his arrival at college."
514,"4 luni, 3 saptamâni si 2 zile",(2007),113 min,7.9,97        ,"58,862",$1.19M,A woman assists her friend in arranging an illegal abortion in 1980s Romania.
515,Star Trek,(2009),127 min,7.9,82        ,"592,733",$257.73M,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
516,In Bruges,(2008),107 min,7.9,67        ,"406,526",$7.76M,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
517,The Man from Earth,(2007),87 min,7.9,****,"182,196",%^%^%^,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
518,Letters from Iwo Jima,(2006),141 min,7.9,89        ,"159,150",$13.76M,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
519,The Fall,(2006),117 min,7.9,64        ,"110,300",$2.28M,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances."
520,Life of Pi,(2012),127 min,7.9,79        ,"605,133",$124.99M,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
521,Fantastic Mr. Fox,(2009),87 min,7.9,83        ,"216,783",$21.00M,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
522,C.R.A.Z.Y.,(2005),129 min,7.9,81        ,"32,155",%^%^%^,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values."
523,Les choristes,(2004),97 min,7.9,56        ,"60,054",$3.64M,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.
524,Iron Man,(2008),126 min,7.9,79        ,"996,041",$318.41M,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
525,Shaun of the Dead,(2004),99 min,7.9,76        ,"536,152",$13.54M,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse."
526,Kal Ho Naa Ho,(2003),186 min,7.9,54        ,"66,808",$1.79M,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
527,Gegen die Wand,(2004),121 min,7.9,78        ,"53,128",%^%^%^,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love."
528,Mystic River,(2003),138 min,7.9,84        ,"440,893",$90.14M,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
529,Harry Potter and the Prisoner of Azkaban,(2004),142 min,7.9,82        ,"588,953",$249.36M,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
530,Ying xiong,(2002),120 min,7.9,85        ,"178,444",$53.71M,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
531,Sennen joyû,(2001),87 min,7.9,70        ,"26,144",$0.19M,A TV interviewer and his cameraman meet a former actress and travel through her memories and career.
532,Hable con ella,(2002),112 min,7.9,86        ,"109,480",$9.28M,Two men share an odd friendship while they care for two women who are both in deep comas.
533,No Man's Land,(I) (2001),98 min,7.9,84        ,"46,281",$1.06M,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
534,Cowboy Bebop: Tengoku no tobira,(2001),115 min,7.9,61        ,"46,471",$1.00M,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit."
535,The Bourne Identity,(2002),119 min,7.9,68        ,"528,736",$121.66M,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
536,Nueve reinas,(2000),114 min,7.9,80        ,"51,690",$1.22M,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
537,Children of Men,(2006),109 min,7.9,84        ,"483,699",$35.55M,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
538,Todo sobre mi madre,(1999),101 min,7.9,87        ,"93,692",$8.26M,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela."
539,Almost Famous,(2000),122 min,7.9,90        ,"267,194",$32.53M,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.
540,Mulholland Dr.,(2001),147 min,7.9,85        ,"341,028",$7.22M,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
541,Shrek,(2001),90 min,7.9,84        ,"644,258",$267.67M,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
542,Toy Story 2,(1999),92 min,7.9,88        ,"553,506",$245.85M,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
543,Knockin' on Heaven's Door,(1997),87 min,7.9,****,"29,256",$0.00M,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea."
544,Boogie Nights,(1997),155 min,7.9,85        ,"253,008",$26.40M,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent."
545,Mimi wo sumaseba,(1995),111 min,7.9,75        ,"58,040",%^%^%^,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses."
546,Once Were Warriors,(1994),102 min,7.9,77        ,"33,051",$2.20M,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
547,True Romance,(1993),119 min,7.9,59        ,"218,953",$12.28M,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it."
548,Trois couleurs: Bleu,(1993),94 min,7.9,85        ,"97,552",$1.32M,A woman struggles to find a way to live her life after the death of her husband and child.
549,Jûbê ninpûchô,(1993),94 min,7.9,****,"36,290",%^%^%^,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.
550,Carlito's Way,(1993),144 min,7.9,65        ,"210,466",$36.95M,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C."
551,Edward Scissorhands,(1990),105 min,7.9,74        ,"467,378",$56.36M,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world."
552,My Left Foot: The Story of Christy Brown,(1989),103 min,7.9,97        ,"71,939",$14.74M,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot."
553,Majo no takkyûbin,(1989),103 min,7.9,83        ,"135,222",%^%^%^,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service."
554,Crimes and Misdemeanors,(1989),104 min,7.9,77        ,"56,822",$18.25M,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.
555,The Untouchables,(1987),119 min,7.9,79        ,"297,466",$76.27M,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him."
556,Hannah and Her Sisters,(1986),107 min,7.9,90        ,"69,956",$40.08M,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly."
557,Brazil,(1985),132 min,7.9,84        ,"196,060",$9.93M,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.
558,This Is Spinal Tap,(1984),82 min,7.9,92        ,"135,724",$4.74M,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour."
559,A Christmas Story,(1983),93 min,7.9,77        ,"138,872",$20.61M,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift."
560,The Blues Brothers,(1980),133 min,7.9,60        ,"192,017",$57.23M,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago."
561,Manhattan,(1979),96 min,7.9,83        ,"137,238",$45.70M,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.
