,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
33,Star Wars,(1977),121 min,8.6,90        ,"1,289,613",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
34,Seppuku,(1962),133 min,8.6,85        ,"50,612",%^%^%^,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
35,Shichinin no samurai,(1954),207 min,8.6,98        ,"332,098",$0.27M,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
36,It's a Wonderful Life,(1946),130 min,8.6,89        ,"427,275",%^%^%^,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
37,96,(II) (2018),158 min,8.5,****,"26,514",%^%^%^,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
38,Whiplash,(2014),106 min,8.5,88        ,"776,351",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
39,The Intouchables,(2011),112 min,8.5,57        ,"806,952",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
40,The Prestige,(2006),130 min,8.5,66        ,"1,259,971",$53.09M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
41,The Departed,(2006),151 min,8.5,85        ,"1,254,264",$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
42,The Pianist,(2002),150 min,8.5,85        ,"780,912",$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
43,Gladiator,(2000),155 min,8.5,67        ,"1,416,109",$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
44,American History X,(1998),119 min,8.5,62        ,"1,075,918",$6.72M,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
45,The Usual Suspects,(1995),106 min,8.5,77        ,"1,038,283",$23.34M,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
46,Léon,(1994),110 min,8.5,64        ,"1,095,440",$19.50M,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
