_id,awards.nominations,awards.text,awards.wins,cast,directors,genres,languages,lastupdated,rated,released,title,year
61636ec15dae1c1507e1f172,63,Won 11 Oscars. Another 116 wins & 63 nominations.,127,"[""Leonardo DiCaprio"",""Kate Winslet"",""Billy Zane"",""Kathy Bates""]","[""James Cameron""]","[""Drama"",""Romance""]","[""English"",""French"",""German"",""Swedish"",""Italian"",""Russian""]",,PG-13,1997-12-19T00:00:00.000Z,Titanic,1997
61636ec15dae1c1507e1f173,106,Won 2 Oscars. Another 142 wins & 106 nominations.,144,"[""Christian Bale"",""Heath Ledger"",""Aaron Eckhart"",""Michael Caine""]","[""Christopher Nolan""]","[""Action"",""Crime"",""Drama""]","[""English"",""Mandarin""]",,PG-13,2008-07-18T00:00:00.000Z,The Dark Knight,2008
61636ec15dae1c1507e1f174,22,Won 1 Oscar. Another 51 wins & 22 nominations.,52,"[""Rumi Hiiragi"",""Miyu Irino"",""Mari Natsuki"",""Takashi Naitè""]","[""Hayao Miyazaki""]","[""Animation"",""Adventure"",""Family""]","[""Japanese""]",,PG,2003-03-28T00:00:00.000Z,Spirited Away,2001
61636ec15dae1c1507e1f175,6,Won 3 Oscars. Another 6 wins & 6 nominations.,9,"[""Humphrey Bogart"",""Ingrid Bergman"",""Paul Henreid"",""Claude Rains""]","[""Michael Curtiz""]","[""Drama"",""Romance"",""War""]","[""English"",""French"",""German"",""Italian""]",2015-09-04 00:22:54.600000000,PG,1943-01-23T00:00:00.000Z,Casablanca,1942
